Circuit: * Z:\media\salim\home2\salim\KiCad\AM_FM_Transceiver\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 2.5857e-05 to 2.5857e-05
Heightened Def Con from 0.00452132 to 0.00452132
Heightened Def Con from 0.00452133 to 0.00452133
Heightened Def Con from 0.00452134 to 0.00452134
Heightened Def Con from 0.00452134 ++++++++to 0.00452134
Heightened Def Con from 0.0059814 to 0.0059814
Heightened Def Con from 0.0095215 to 0.0095215
Heightened Def Con from 0.00952151 to 0.00952151
Heightened Def Con from 0.0109807 to 0.0109807
Heightened Def Con from 0.0145215 +++++++++++to 0.0145215
Heightened Def Con from 0.0145215 ++++++++to 0.0145215
Heightened Def Con from 0.0159792 ++++++++++++++to 0.0159792
Heightened Def Con from 0.0195216 to 0.0195216
Heightened Def Con from 0.0209799 +++++++++++++++to 0.0209799
Heightened Def Con from 0.0245218 to 0.0245218
Heightened Def Con from 0.0245218 to 0.0245218
Heightened Def Con from 0.0295215 ++++++++++to 0.0295215
Heightened Def Con from 0.0309792 ++++++++++++++to 0.0309792
Heightened Def Con from 0.0309792 ++++++++++++++to 0.0309792
Heightened Def Con from 0.0309792 ++++++++++++++to 0.0309792
Heightened Def Con from 0.0309792 +++++++++++++to 0.0309792
Heightened Def Con from 0.0309812 to 0.0309812
Heightened Def Con from 0.0345215 to 0.0345215
Heightened Def Con from 0.0359805 +++++++++++to 0.0359805
Heightened Def Con from 0.0395215 to 0.0395215
Heightened Def Con from 0.0395215 +++++++++++to 0.0395215
Heightened Def Con from 0.0395215 +++++++++to 0.0395215
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409794
Heightened Def Con from 0.0409794 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409795
Heightened Def Con from 0.0409795 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
Heightened Def Con from 0.0409796 +++++++++++++++to 0.0409796
